cell_line,treatment,pChk1_S296,pHSP27_S82,pCDC25B_S323,pCDC2_Tyr15,pCDK2_T14,pCDC25C_Ser216,pChk2_Thr68,pP38_Thr180_Tyr182,Cleaved_Caspase_3_24h,Cleaved_Caspase_3_48h,Cleaved_Caspase_3_72h,pHistone_H3_24h,pHistone_H3_48h,pHistone_H3_72h,yH2AX_24h,yH2AX_48h,yH2AX_72h,BrDU_G0_G1_24h,BrDU_G0_G1_48h,BrDU_G0_G1_72h,BrDU_G2_M_24h,BrDU_G2_M_48h,BrDU_G2_M_72h,BrDU_S_24h,BrDU_S_48h,BrDU_S_72h,BrDU_S_arrest_24h,BrDU_S_arrest_48h,BrDU_S_arrest_72h,chek1i,mk2i,etoposide
HCT116,DMSO,1,1,1,1,1,1,1,1,17,5.93,4.41,8.31,2.64,2.25,6.9,3.1,0.69,24.8,25.6,45.5,25.2,25.4,20.2,47.5,48.1,33.2,1.71,0.74,0.88,0,0,0
HCT116,0.5µM Chk1i,0.607,1.447,1.173,0.705,1.066,1.122,1.804,6.459,17.6,17.3,14.3,10.2,3.91,2.64,16.6,22.2,9.63,23.5,26.3,34.7,48.8,50.8,40.6,21.2,16.5,17.2,6.24,6.01,7.69,0.5,0,0
HCT116,1µM Chk1i,0.42,1.911,0.849,0.724,1.272,0.795,1.345,5.273,29.5,24.6,37.1,3.62,1.62,1.05,17,28.4,19.6,10.8,13.1,17,72.9,71.9,64.3,9.39,8.1,9.72,6.7,6.92,8.65,1,0,0
HCT116,2.5µM Mk2i,0.939,0.955,1.219,0.885,1.271,1.001,1.204,3.009,13,4.22,3.59,3.24,2.24,2.6,3.02,2.61,0.56,24.4,26.5,41.2,22.9,25.3,19.7,50.8,47,37.7,1.63,1.03,1.12,0,2.5,0
HCT116,0.5µM Chk1i/ 2.5µM Mk2i,0.288,0.659,0.84,0.684,1.491,0.884,1.369,8.964,24.4,31.4,31.3,4.88,1.24,0.44,19.6,25.1,19.8,11.3,9.01,9.89,71.1,76.5,71.8,10.4,6.6,7.18,7.02,7.53,11.4,0.5,2.5,0
HCT116,1µM Chk1i/ 2.5µM Mk2i,0.174,0.504,0.693,0.46,1.275,0.655,1.252,10.534,29.3,36,38.5,0.31,0.14,0.21,25.1,34.9,21.3,7.25,6.68,8.58,74.8,78.3,69.1,7.22,4.97,6.63,10.5,9.7,16.2,1,2.5,0
HCT116,42µM etoposide (2h),3.725,2.329,0.865,1.103,1.107,0.764,3.851,8.101,NA,NA,3.64,NA,NA,1.59,NA,NA,0.45,NA,NA,35.6,NA,NA,22.4,NA,NA,34.8,NA,NA,NA,0,0,42
SW620,DMSO,1,1,1,1,1,1,1,1,0.72,0.52,0.24,3.58,2.44,2.22,3.76,2.15,1.84,38.5,46.7,52.7,8.41,8.11,14.3,52.7,44.8,29,0.41,0.45,4.32,0,0,0
SW620,0.5µM Chk1i,0.184,0.738,0.983,0.663,0.759,1.1,1.164,1.211,1.1,1.05,1.21,4.57,3.52,2.81,13.3,3.66,3.02,42.4,50.7,53,9.44,7.52,9.26,47.5,41,36.7,0.69,0.85,1.17,0.5,0,0
SW620,1µM Chk1i,0.118,0.536,1.078,0.581,0.723,0.971,1.146,1.099,4.13,4.21,5.07,4.65,4.09,3.08,17,8.76,5.24,32.4,44.2,51.2,27.6,17.9,8.91,38.1,34.7,38.6,2.07,3.5,1.44,1,0,0
SW620,2.5µM Mk2i,0.951,0.293,1.281,0.842,1.137,1.247,0.869,1.772,0.85,1.08,0.95,3.12,2.41,2.59,6.63,2.73,1.71,31.9,42.4,42.2,10.3,16,8.76,56.5,37.2,48.8,1.36,5.08,0.37,0,2.5,0
SW620,0.5µM Chk1i/ 2.5µM Mk2i,0.193,0.196,1.246,0.641,0.92,1.017,1.161,1.554,6.41,5.97,2.21,3.34,3.44,3.82,20.3,8.83,3.72,26.2,32.9,39.3,24.8,17.4,14.7,46.8,46.8,43.2,2.52,3.23,3.12,0.5,2.5,0
SW620,1µM Chk1i/ 2.5µM Mk2i,0.076,0.485,0.892,0.334,0.611,0.695,1.492,1.78,15.5,14.3,17.5,2.1,2.73,3.9,49.6,32.4,15.4,8.67,23,28.5,65.6,31.5,29.8,20.9,37.9,34.3,5.24,7.65,8.01,1,2.5,0
SW620,42µM etoposide (2h),11.01,2.419,1.199,1.32,1.416,1.008,1.113,2.715,NA,NA,0.63,NA,NA,0.22,NA,NA,13.2,NA,NA,51,NA,NA,13.3,NA,NA,32.5,NA,NA,3.4,0,0,42
SW948,DMSO,1,1,1,1,1,1,1,1,18.3,25.3,13.8,2.84,3.97,3.88,0.24,0.21,0.14,42.3,48.9,53.1,22.7,20.7,18.8,29.3,23.8,24,6.29,7.3,4.71,0,0,0
SW948,0.5µM Chk1i,0.236,1.041,0.819,1,1.074,1.215,1.262,0.896,36.3,49.8,13.8,2.69,2.78,4.25,1.11,1.51,0.63,40.4,50.5,53.6,21.7,20,20.1,33.9,24,20.6,4.48,5.34,6.38,0.5,0,0
SW948,1µM Chk1i,0.22,0.871,1.125,1.058,1.283,1.326,1.149,1.211,18.7,37.6,28.9,3.78,3.26,3.66,3.7,2.86,1.03,40.1,47.9,54.2,23.4,23.7,20.7,30.3,18.7,18.9,6.91,10.5,7.58,1,0,0
SW948,2.5µM Mk2i,2.605,0.406,1.048,0.912,1.136,1.227,0.912,1.319,51.6,40.5,12.9,1.16,2.48,3.42,1.55,0.47,0.11,35.1,46.8,48.4,28,25.8,22.9,29.7,17.2,23.7,7.98,10.9,5.47,0,2.5,0
SW948,0.5µM Chk1i/ 2.5µM Mk2i,0.174,0.332,0.836,0.846,0.938,0.826,1.04,0.763,37.7,48.1,31.1,2.1,2.73,4.59,1.94,1.47,0.73,38.8,54.1,51.5,26.3,17,23.6,27.2,18.5,16.3,8.77,11.3,9.42,0.5,2.5,0
SW948,1µM Chk1i/ 2.5µM Mk2i,0.047,0.768,0.934,1.156,1.211,1.098,1.384,0.795,39.4,49.6,45,1.69,2.79,3.8,2,2.35,2.73,33.8,46.6,49.1,29.3,24.3,22.1,26.2,15.6,17.5,11.6,15,10.9,1,2.5,0
SW948,42µM etoposide (2h),6.202,1.281,0.947,1.826,1.51,1.812,19.216,2.332,NA,NA,10,NA,NA,1.73,NA,NA,0.11,NA,NA,53,NA,NA,19.7,NA,NA,22.6,NA,NA,4.59,0,0,42
