chek1i,mk2i,etoposide,treatment,cell_line,expertype,time,variable,value
0,0,42,42µM etoposide (2h),HCT116,facs,72,BrDU_G0_G1_72h,35.6
0,0,0,DMSO,SW620,facs,72,BrDU_G0_G1_72h,52.7
0.5,0,0,0.5µM Chk1i,SW620,facs,72,BrDU_G0_G1_72h,53
1,0,0,1µM Chk1i,SW620,facs,72,BrDU_G0_G1_72h,51.2
0,2.5,0,2.5µM Mk2i,SW620,facs,72,BrDU_G0_G1_72h,42.2
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,72,BrDU_G0_G1_72h,39.3
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,72,BrDU_G0_G1_72h,28.5
0,0,42,42µM etoposide (2h),SW620,facs,72,BrDU_G0_G1_72h,51
0,0,0,DMSO,SW948,facs,72,BrDU_G0_G1_72h,53.1
0.5,0,0,0.5µM Chk1i,SW948,facs,72,BrDU_G0_G1_72h,53.6
1,0,0,1µM Chk1i,SW948,facs,72,BrDU_G0_G1_72h,54.2
0,2.5,0,2.5µM Mk2i,SW948,facs,72,BrDU_G0_G1_72h,48.4
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,72,BrDU_G0_G1_72h,51.5
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,72,BrDU_G0_G1_72h,49.1
0,0,42,42µM etoposide (2h),SW948,facs,72,BrDU_G0_G1_72h,53
0,0,0,DMSO,HCT116,facs,24,BrDU_G2_M_24h,25.2
0.5,0,0,0.5µM Chk1i,HCT116,facs,24,BrDU_G2_M_24h,48.8
1,0,0,1µM Chk1i,HCT116,facs,24,BrDU_G2_M_24h,72.9
0,2.5,0,2.5µM Mk2i,HCT116,facs,24,BrDU_G2_M_24h,22.9
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,24,BrDU_G2_M_24h,71.1
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,24,BrDU_G2_M_24h,74.8
0,0,42,42µM etoposide (2h),HCT116,facs,24,BrDU_G2_M_24h,NA
0,0,0,DMSO,SW620,facs,24,BrDU_G2_M_24h,8.41
0.5,0,0,0.5µM Chk1i,SW620,facs,24,BrDU_G2_M_24h,9.44
1,0,0,1µM Chk1i,SW620,facs,24,BrDU_G2_M_24h,27.6
0,2.5,0,2.5µM Mk2i,SW620,facs,24,BrDU_G2_M_24h,10.3
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,24,BrDU_G2_M_24h,24.8
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,24,BrDU_G2_M_24h,65.6
0,0,42,42µM etoposide (2h),SW620,facs,24,BrDU_G2_M_24h,NA
0,0,0,DMSO,SW948,facs,24,BrDU_G2_M_24h,22.7
0.5,0,0,0.5µM Chk1i,SW948,facs,24,BrDU_G2_M_24h,21.7
1,0,0,1µM Chk1i,SW948,facs,24,BrDU_G2_M_24h,23.4
0,2.5,0,2.5µM Mk2i,SW948,facs,24,BrDU_G2_M_24h,28
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,24,BrDU_G2_M_24h,26.3
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,24,BrDU_G2_M_24h,29.3
0,0,42,42µM etoposide (2h),SW948,facs,24,BrDU_G2_M_24h,NA
0,0,0,DMSO,HCT116,facs,48,BrDU_G2_M_48h,25.4
0.5,0,0,0.5µM Chk1i,HCT116,facs,48,BrDU_G2_M_48h,50.8
1,0,0,1µM Chk1i,HCT116,facs,48,BrDU_G2_M_48h,71.9
0,2.5,0,2.5µM Mk2i,HCT116,facs,48,BrDU_G2_M_48h,25.3
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,48,BrDU_G2_M_48h,76.5
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,48,BrDU_G2_M_48h,78.3
0,0,42,42µM etoposide (2h),HCT116,facs,48,BrDU_G2_M_48h,NA
0,0,0,DMSO,SW620,facs,48,BrDU_G2_M_48h,8.11
0.5,0,0,0.5µM Chk1i,SW620,facs,48,BrDU_G2_M_48h,7.52
1,0,0,1µM Chk1i,SW620,facs,48,BrDU_G2_M_48h,17.9
0,2.5,0,2.5µM Mk2i,SW620,facs,48,BrDU_G2_M_48h,16
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,48,BrDU_G2_M_48h,17.4
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,48,BrDU_G2_M_48h,31.5
0,0,42,42µM etoposide (2h),SW620,facs,48,BrDU_G2_M_48h,NA
0,0,0,DMSO,SW948,facs,48,BrDU_G2_M_48h,20.7
0.5,0,0,0.5µM Chk1i,SW948,facs,48,BrDU_G2_M_48h,20
1,0,0,1µM Chk1i,SW948,facs,48,BrDU_G2_M_48h,23.7
0,2.5,0,2.5µM Mk2i,SW948,facs,48,BrDU_G2_M_48h,25.8
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,48,BrDU_G2_M_48h,17
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,48,BrDU_G2_M_48h,24.3
0,0,42,42µM etoposide (2h),SW948,facs,48,BrDU_G2_M_48h,NA
0,0,0,DMSO,HCT116,facs,72,BrDU_G2_M_72h,20.2
0.5,0,0,0.5µM Chk1i,HCT116,facs,72,BrDU_G2_M_72h,40.6
1,0,0,1µM Chk1i,HCT116,facs,72,BrDU_G2_M_72h,64.3
0,2.5,0,2.5µM Mk2i,HCT116,facs,72,BrDU_G2_M_72h,19.7
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,72,BrDU_G2_M_72h,71.8
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,72,BrDU_G2_M_72h,69.1
0,0,42,42µM etoposide (2h),HCT116,facs,72,BrDU_G2_M_72h,22.4
0,0,0,DMSO,SW620,facs,72,BrDU_G2_M_72h,14.3
0.5,0,0,0.5µM Chk1i,SW620,facs,72,BrDU_G2_M_72h,9.26
1,0,0,1µM Chk1i,SW620,facs,72,BrDU_G2_M_72h,8.91
0,2.5,0,2.5µM Mk2i,SW620,facs,72,BrDU_G2_M_72h,8.76
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,72,BrDU_G2_M_72h,14.7
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,72,BrDU_G2_M_72h,29.8
0,0,42,42µM etoposide (2h),SW620,facs,72,BrDU_G2_M_72h,13.3
0,0,0,DMSO,SW948,facs,72,BrDU_G2_M_72h,18.8
0.5,0,0,0.5µM Chk1i,SW948,facs,72,BrDU_G2_M_72h,20.1
1,0,0,1µM Chk1i,SW948,facs,72,BrDU_G2_M_72h,20.7
0,2.5,0,2.5µM Mk2i,SW948,facs,72,BrDU_G2_M_72h,22.9
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,72,BrDU_G2_M_72h,23.6
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,72,BrDU_G2_M_72h,22.1
0,0,42,42µM etoposide (2h),SW948,facs,72,BrDU_G2_M_72h,19.7
0,0,0,DMSO,HCT116,facs,24,BrDU_S_24h,47.5
0.5,0,0,0.5µM Chk1i,HCT116,facs,24,BrDU_S_24h,21.2
1,0,0,1µM Chk1i,HCT116,facs,24,BrDU_S_24h,9.39
0,2.5,0,2.5µM Mk2i,HCT116,facs,24,BrDU_S_24h,50.8
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,24,BrDU_S_24h,10.4
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,24,BrDU_S_24h,7.22
0,0,42,42µM etoposide (2h),HCT116,facs,24,BrDU_S_24h,NA
0,0,0,DMSO,SW620,facs,24,BrDU_S_24h,52.7
0.5,0,0,0.5µM Chk1i,SW620,facs,24,BrDU_S_24h,47.5
1,0,0,1µM Chk1i,SW620,facs,24,BrDU_S_24h,38.1
0,2.5,0,2.5µM Mk2i,SW620,facs,24,BrDU_S_24h,56.5
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,24,BrDU_S_24h,46.8
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,24,BrDU_S_24h,20.9
0,0,42,42µM etoposide (2h),SW620,facs,24,BrDU_S_24h,NA
0,0,0,DMSO,SW948,facs,24,BrDU_S_24h,29.3
0.5,0,0,0.5µM Chk1i,SW948,facs,24,BrDU_S_24h,33.9
1,0,0,1µM Chk1i,SW948,facs,24,BrDU_S_24h,30.3
0,2.5,0,2.5µM Mk2i,SW948,facs,24,BrDU_S_24h,29.7
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,24,BrDU_S_24h,27.2
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,24,BrDU_S_24h,26.2
0,0,42,42µM etoposide (2h),SW948,facs,24,BrDU_S_24h,NA
0,0,0,DMSO,HCT116,facs,48,BrDU_S_48h,48.1
0.5,0,0,0.5µM Chk1i,HCT116,facs,48,BrDU_S_48h,16.5
1,0,0,1µM Chk1i,HCT116,facs,48,BrDU_S_48h,8.1
0,2.5,0,2.5µM Mk2i,HCT116,facs,48,BrDU_S_48h,47
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,48,BrDU_S_48h,6.6
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,48,BrDU_S_48h,4.97
0,0,42,42µM etoposide (2h),HCT116,facs,48,BrDU_S_48h,NA
0,0,0,DMSO,SW620,facs,48,BrDU_S_48h,44.8
0.5,0,0,0.5µM Chk1i,SW620,facs,48,BrDU_S_48h,41
1,0,0,1µM Chk1i,SW620,facs,48,BrDU_S_48h,34.7
0,2.5,0,2.5µM Mk2i,SW620,facs,48,BrDU_S_48h,37.2
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,48,BrDU_S_48h,46.8
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,48,BrDU_S_48h,37.9
0,0,42,42µM etoposide (2h),SW620,facs,48,BrDU_S_48h,NA
0,0,0,DMSO,SW948,facs,48,BrDU_S_48h,23.8
0.5,0,0,0.5µM Chk1i,SW948,facs,48,BrDU_S_48h,24
1,0,0,1µM Chk1i,SW948,facs,48,BrDU_S_48h,18.7
0,2.5,0,2.5µM Mk2i,SW948,facs,48,BrDU_S_48h,17.2
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,48,BrDU_S_48h,18.5
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,48,BrDU_S_48h,15.6
0,0,42,42µM etoposide (2h),SW948,facs,48,BrDU_S_48h,NA
0,0,0,DMSO,HCT116,facs,72,BrDU_S_72h,33.2
0.5,0,0,0.5µM Chk1i,HCT116,facs,72,BrDU_S_72h,17.2
1,0,0,1µM Chk1i,HCT116,facs,72,BrDU_S_72h,9.72
0,2.5,0,2.5µM Mk2i,HCT116,facs,72,BrDU_S_72h,37.7
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,72,BrDU_S_72h,7.18
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,72,BrDU_S_72h,6.63
0,0,42,42µM etoposide (2h),HCT116,facs,72,BrDU_S_72h,34.8
0,0,0,DMSO,SW620,facs,72,BrDU_S_72h,29
0.5,0,0,0.5µM Chk1i,SW620,facs,72,BrDU_S_72h,36.7
1,0,0,1µM Chk1i,SW620,facs,72,BrDU_S_72h,38.6
0,2.5,0,2.5µM Mk2i,SW620,facs,72,BrDU_S_72h,48.8
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,72,BrDU_S_72h,43.2
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,72,BrDU_S_72h,34.3
0,0,42,42µM etoposide (2h),SW620,facs,72,BrDU_S_72h,32.5
0,0,0,DMSO,SW948,facs,72,BrDU_S_72h,24
0.5,0,0,0.5µM Chk1i,SW948,facs,72,BrDU_S_72h,20.6
1,0,0,1µM Chk1i,SW948,facs,72,BrDU_S_72h,18.9
0,2.5,0,2.5µM Mk2i,SW948,facs,72,BrDU_S_72h,23.7
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,72,BrDU_S_72h,16.3
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,72,BrDU_S_72h,17.5
0,0,42,42µM etoposide (2h),SW948,facs,72,BrDU_S_72h,22.6
0,0,0,DMSO,HCT116,facs,24,BrDU_S_arrest_24h,1.71
0.5,0,0,0.5µM Chk1i,HCT116,facs,24,BrDU_S_arrest_24h,6.24
1,0,0,1µM Chk1i,HCT116,facs,24,BrDU_S_arrest_24h,6.7
0,2.5,0,2.5µM Mk2i,HCT116,facs,24,BrDU_S_arrest_24h,1.63
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,24,BrDU_S_arrest_24h,7.02
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,24,BrDU_S_arrest_24h,10.5
0,0,42,42µM etoposide (2h),HCT116,facs,24,BrDU_S_arrest_24h,NA
0,0,0,DMSO,SW620,facs,24,BrDU_S_arrest_24h,0.41
0.5,0,0,0.5µM Chk1i,SW620,facs,24,BrDU_S_arrest_24h,0.69
1,0,0,1µM Chk1i,SW620,facs,24,BrDU_S_arrest_24h,2.07
0,2.5,0,2.5µM Mk2i,SW620,facs,24,BrDU_S_arrest_24h,1.36
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,24,BrDU_S_arrest_24h,2.52
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,24,BrDU_S_arrest_24h,5.24
0,0,42,42µM etoposide (2h),SW620,facs,24,BrDU_S_arrest_24h,NA
0,0,0,DMSO,SW948,facs,24,BrDU_S_arrest_24h,6.29
0.5,0,0,0.5µM Chk1i,SW948,facs,24,BrDU_S_arrest_24h,4.48
1,0,0,1µM Chk1i,SW948,facs,24,BrDU_S_arrest_24h,6.91
0,2.5,0,2.5µM Mk2i,SW948,facs,24,BrDU_S_arrest_24h,7.98
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,24,BrDU_S_arrest_24h,8.77
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,24,BrDU_S_arrest_24h,11.6
0,0,42,42µM etoposide (2h),SW948,facs,24,BrDU_S_arrest_24h,NA
0,0,0,DMSO,HCT116,facs,48,BrDU_S_arrest_48h,0.74
0.5,0,0,0.5µM Chk1i,HCT116,facs,48,BrDU_S_arrest_48h,6.01
1,0,0,1µM Chk1i,HCT116,facs,48,BrDU_S_arrest_48h,6.92
0,2.5,0,2.5µM Mk2i,HCT116,facs,48,BrDU_S_arrest_48h,1.03
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,48,BrDU_S_arrest_48h,7.53
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,48,BrDU_S_arrest_48h,9.7
0,0,42,42µM etoposide (2h),HCT116,facs,48,BrDU_S_arrest_48h,NA
0,0,0,DMSO,SW620,facs,48,BrDU_S_arrest_48h,0.45
0.5,0,0,0.5µM Chk1i,SW620,facs,48,BrDU_S_arrest_48h,0.85
1,0,0,1µM Chk1i,SW620,facs,48,BrDU_S_arrest_48h,3.5
0,2.5,0,2.5µM Mk2i,SW620,facs,48,BrDU_S_arrest_48h,5.08
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,48,BrDU_S_arrest_48h,3.23
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,48,BrDU_S_arrest_48h,7.65
0,0,42,42µM etoposide (2h),SW620,facs,48,BrDU_S_arrest_48h,NA
0,0,0,DMSO,SW948,facs,48,BrDU_S_arrest_48h,7.3
0.5,0,0,0.5µM Chk1i,SW948,facs,48,BrDU_S_arrest_48h,5.34
1,0,0,1µM Chk1i,SW948,facs,48,BrDU_S_arrest_48h,10.5
0,2.5,0,2.5µM Mk2i,SW948,facs,48,BrDU_S_arrest_48h,10.9
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,48,BrDU_S_arrest_48h,11.3
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,48,BrDU_S_arrest_48h,15
0,0,42,42µM etoposide (2h),SW948,facs,48,BrDU_S_arrest_48h,NA
0,0,0,DMSO,HCT116,facs,72,BrDU_S_arrest_72h,0.88
0.5,0,0,0.5µM Chk1i,HCT116,facs,72,BrDU_S_arrest_72h,7.69
1,0,0,1µM Chk1i,HCT116,facs,72,BrDU_S_arrest_72h,8.65
0,2.5,0,2.5µM Mk2i,HCT116,facs,72,BrDU_S_arrest_72h,1.12
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,72,BrDU_S_arrest_72h,11.4
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,72,BrDU_S_arrest_72h,16.2
0,0,42,42µM etoposide (2h),HCT116,facs,72,BrDU_S_arrest_72h,NA
0,0,0,DMSO,SW620,facs,72,BrDU_S_arrest_72h,4.32
0.5,0,0,0.5µM Chk1i,SW620,facs,72,BrDU_S_arrest_72h,1.17
1,0,0,1µM Chk1i,SW620,facs,72,BrDU_S_arrest_72h,1.44
0,2.5,0,2.5µM Mk2i,SW620,facs,72,BrDU_S_arrest_72h,0.37
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,72,BrDU_S_arrest_72h,3.12
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,72,BrDU_S_arrest_72h,8.01
0,0,42,42µM etoposide (2h),SW620,facs,72,BrDU_S_arrest_72h,3.4
0,0,0,DMSO,SW948,facs,72,BrDU_S_arrest_72h,4.71
0.5,0,0,0.5µM Chk1i,SW948,facs,72,BrDU_S_arrest_72h,6.38
1,0,0,1µM Chk1i,SW948,facs,72,BrDU_S_arrest_72h,7.58
0,2.5,0,2.5µM Mk2i,SW948,facs,72,BrDU_S_arrest_72h,5.47
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,72,BrDU_S_arrest_72h,9.42
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,72,BrDU_S_arrest_72h,10.9
0,0,42,42µM etoposide (2h),SW948,facs,72,BrDU_S_arrest_72h,4.59
